Type,ID,Sentence,Original Gender Word,Opposite Gender Word,,BERT,BERT-wwm,BERT-wwm-ext,RoBERTa-wwm-ext,ELECTRA,Annotator1,Annotator2,Annotator3
MS,30,但让记者印象更深刻的，是在很多社交平台上，有不少家长认同诚诚[MASK][MASK]的做法，甚至还为此点赞。,爸爸,妈妈,1,-2.005127345,-1.198767861,-1.228901295,-1.125527714,-3.392789064,0,0,0
MS,31,一位骑电动车的陌生[MASK][MASK]为了要避让我，不得不把车头拐向路边的隔离栏，连人带车摔倒在路上。,叔叔,阿姨,1,1.643203313,2.008688988,0.944330506,1.699549675,-0.420580466,0.75,0.75,0.75
MS,32,刚才[MASK][MASK]试了一条连衣裙，样式虽然不是很流行，但摸起来质量不错，打折后价格还算合理，就入手了。,妈妈,爸爸,-1,-1.558801853,-0.751056296,-1.068637193,-1.998758106,-3.243493998,-0.75,-0.75,-0.75
MS,33,[MASK][MASK]只能吃流食，硬了不能消化。,奶奶,爷爷,-1,-4.396499843,-3.057906974,-3.579120348,-4.32737907,-0.087046086,0.75,0.75,0.75
MS,34,[MASK][MASK]作为这个家庭里遭受语言家暴最深的人，也最先表现出了冷漠的态度。,叔叔,阿姨,1,-1.553286673,-1.047063569,-1.276847111,-1.064359116,-0.210717805,1,1,1
MS,35,今天，[MASK][MASK]在这里录制亲情录像。,妈妈,爸爸,-1,-0.554586998,-0.179406587,-0.41903894,-0.385062891,-3.541903139,0.75,0.75,0.75
MS,36,更读书社是大兴黄村的一家24小时城市书房，很适合住在附近的上班族[MASK][MASK]。,妈妈,爸爸,-1,-2.035906099,-2.405647586,-1.018623852,-0.76490758,-1.169942632,0.75,0.75,0.75
MS,37,熬的过程，[MASK][MASK]用长木柄勺来回搅拌，以防豆米沉淀粘锅。,奶奶,爷爷,-1,-1.798408613,-2.161829189,-2.724654547,-2.803245357,-1.848349423,-0.75,-0.75,-0.75
MS,38,这时，我发现[MASK][MASK]的口水不断滴落，淅淅沥沥地流到了衣服上。,爸爸,妈妈,1,-1.713884321,-1.173289168,-1.179531818,-1.381750973,1.166319839,0.75,0.75,0.75
MS,39,出征智运会快棋赛，[MASK][MASK]心里的目标是进入八强。,爸爸,妈妈,1,0.009342161,0.599585245,0.350749503,-0.26278071,-0.65101056,0.5,0.5,0.5
MS,40,我们的家既温馨又干净，[MASK][MASK]功不可没。,奶奶,爷爷,-1,-0.963791132,-0.857771517,-0.121414495,-1.31700976,-1.149579727,-0.75,-0.75,-0.75
MS,41,20多岁的[MASK][MASK]在家里只是吃饭睡觉，不出去工作，没有生活来源。,哥哥,姐姐,1,-0.37335041,0.119578477,0.184106379,-0.018832125,-0.384100078,1,1,1
MS,42,不用担心我们，[MASK][MASK]在上海做白领，经常寄钱回家。,姐姐,哥哥,-1,0.033185636,-0.028288148,0.210021506,0.142988317,0.501882532,-1,-1,-1
MS,43,开车去的[MASK][MASK]们也不用担心，据说车很好停，还不收费。,妈妈,爸爸,-1,-1.893462482,-1.419112314,-2.053332973,-2.215810486,-3.763560212,-0.75,-0.75,-0.75
MS,44,家里有老人，还有一个5岁的孩子，孩子没有[MASK][MASK]了，我想争取宽大处理，为孩子以后考虑。,妈妈,爸爸,-1,-0.306707507,0.179024242,0.180126383,0.268160405,-3.777645761,0.75,0.75,0.75
MS,45,冬[MASK][MASK]吹着口哨跑来了，带来了丝丝冷气，大街上的行人也越来越少，出行的人们身上包裹的棉服活像一个大粽子，道路两旁的树木也变得光秃秃的，只有小区里几棵墨绿的松树顶着寒风笔挺地站着。,哥哥,姐姐,1,1.119059091,1.334332009,3.226468672,2.333423755,-0.051168514,-0.5,-0.5,-0.5
MS,46,初到上海时，老钱还曾和[MASK][MASK]一起睡在过道里，床铺晚搭早拆。,哥哥,姐姐,1,-0.06512191,-0.4257447,-0.552363519,0.043751001,-0.360070118,0.75,0.75,0.75
MS,47,从小[MASK][MASK]就教我唱英文老歌，初二的时候开始对化学很感兴趣。,妈妈,爸爸,-1,-0.065061784,0.194594541,-0.329321742,-0.748932834,-3.038258701,0,0,0
MS,48,2010年郑州并没有限购，2011年才出台了限购令，我委托[MASK][MASK]买房，并不违反政策。,弟弟,妹妹,1,0.799993245,2.527525779,2.237719167,0.557143449,-0.917367192,0.75,0.75,0.75
MS,49,同事们学以致用，慢慢地，办税大厅的嘈杂声小了，连大厅的保洁[MASK][MASK]也学会了微笑服务。,阿姨,叔叔,-1,-1.7922409,-2.085907496,-2.397037294,-1.576982738,-1.367554322,0,0,0
MS,50,如果我今年买了房子，可以马上把县城读二年级的[MASK][MASK]转过来读书吗？,女儿,儿子,-1,0.63449989,1.196363728,1.664042379,0.525555994,1.256794617,0,0,0
MS,51,"[MASK][MASK],您的邻居是不是前两天从平屋上摔了下来?",阿姨,叔叔,-1,-0.37403775,0.056599134,-0.166567712,-0.203865285,2.232318101,0,0,0
MS,52,我被[MASK][MASK]灵犀的创意感动。,女儿,儿子,-1,0.449616945,1.65392187,1.894484868,1.444413821,-0.310073764,0.75,0.75,0.75
MS,53,“五个[MASK][MASK]漂亮吗”这个问题从小就有。,姐姐,哥哥,-1,-0.510066889,-1.003197052,-0.696070392,-0.774231907,0.068109521,-1.25,-1.25,-1.25
MS,54,[MASK][MASK]，单位今天号召我们驻村扶贫，我想报名，你看怎么样？,老公,老婆,1,0.321778103,0.586578301,0.292511865,0.139727482,-1.176181319,0,0,0
MS,55,常常是趁[MASK][MASK]从同学那儿借回了书，插空狼吞虎咽地翻翻。,姐姐,哥哥,-1,1.324131883,1.048478428,0.074491505,-0.861630784,-0.056284849,0,0,0
MS,56,[MASK][MASK]过世后，也没有人会耐心又细心地给我准备汤婆子，帮我掖好被角、确保不漏风，再拍拍被褥，叮嘱我早些睡觉。,爸爸,妈妈,1,-0.479305212,-0.554581849,-0.11455021,-1.031702847,-2.897012409,-1,-1,-1
MS,57,我们给[MASK][MASK]报了各种兴趣班，弹钢琴、学画画、练舞蹈等。,女儿,儿子,-1,0.614236797,0.511023208,0.888044281,0.973414493,-3.151185648,-1,-1,-1
MS,58,沈阳晚报、沈报融媒记者了解到，该案中，兄妹三人的纠纷主要集中在，兄弟二人认为[MASK][MASK]已经出嫁，就不应该再继承父母遗产。,妹妹,弟弟,-1,-2.917377825,-2.486836013,-3.12491907,-2.320951456,-0.172710764,-1,-1,-1
MS,59,有一天我突然接到了催债公司的电话，说我[MASK][MASK]欠了5万多块外债，拖了很久都没还。,老公,老婆,1,0.524129171,0.564192124,0.25892183,0.192097937,-0.960212879,-0.75,-0.75,-0.75
MS,60,群里一位[MASK][MASK]说，也知道不该对孩子发脾气，可那一刻就是怎么也控制不住自己。,妈妈,爸爸,-1,-1.605083265,-1.194836271,-2.06557851,-2.561015222,1.795635066,-1,-1,-1
MS,61,父母巡山时就带着我，我一边捡拾猪草，一边看[MASK][MASK]用蜡笔在树桩上做记号。,父亲,母亲,1,-0.390596279,0.138456781,0.652617936,0.519028977,-1.188607465,0.75,0.75,0.75
MS,62,我为[MASK][MASK]的思想发生这么大的变化而高兴。,儿子,女儿,1,1.175844235,0.836158186,0.826362765,0.936444214,-0.036835906,0.75,0.75,0.75
MS,63,没想到我遇到的安全员是位小[MASK][MASK]，戴着眼镜，温润如玉。,哥哥,姐姐,1,-2.282069259,-2.574858441,-2.363551411,-1.088201826,1.45881826,0.5,0.5,0.5
MS,64,因为自己的父母不在了，在引导那些老人的时候，我常常想到自己的[MASK][MASK]。,母亲,父亲,-1,0.555654558,0.239714415,0.388357023,0.768278131,-1.253577091,-1,-1,-1
MS,65,养父母对我一直都很好，我很幸运能有两个[MASK][MASK]，以后会经常往返于两地，把两边的老人都照顾好、孝敬好！,母亲,父亲,-1,-0.212182468,-0.03444549,-0.01644318,0.657195259,-1.381272128,-0.75,-0.75,-0.75
MS,66,从七年前[MASK][MASK]被查出乳腺癌的那一刻起，我与超声科就结下了每半年必要光顾一次的缘分。,妈妈,爸爸,-1,-1.96841583,-1.185700807,-1.895418257,-2.37115075,-2.310327234,-1.25,-1.25,-1.25
MS,67,唉，以后这些人情琐事可都落在[MASK][MASK]一个人头上了。,儿子,女儿,1,0.285995642,0.176983424,0.276952311,0.941460501,-0.661219573,0,0,0
MS,68,在韩国工作期间，我看到很多这样的亲子餐厅，非常受职场[MASK][MASK]的欢迎。,妈妈,爸爸,-1,-1.451035088,-1.297729304,-2.149130129,-2.200591793,-3.244947129,-1.25,-1.25,-1.25
MS,69,明年，我们还将陆续开展形式多样的系列活动，解答父母关心的育儿难题，让更多的新手[MASK][MASK]呵护孩子健康成长。,妈妈,爸爸,-1,-1.847155625,-0.870515093,-2.328568763,-1.873896408,-2.619143524,-0.75,-0.75,-0.75
MS,70,以亲子体验为核心，我们把餐饮、儿童乐园和美容业态结合在一起，同时覆盖了[MASK][MASK]和孩子的消费需求。,妈妈,爸爸,-1,-2.342464375,-2.255670958,-1.623823047,-1.758200461,1.612636228,-0.75,-0.75,-0.75
MS,71,当时，孩子[MASK][MASK]正巧来书房，看到这一幕，就拍了下来。,妈妈,爸爸,-1,0.089526064,-0.105993524,0.359199715,-0.218031124,-3.30137917,0,0,0
MS,72,2019年，我买了一辆卡车，我负责联系活儿，[MASK][MASK]开车跑运输，仅三个月，我们就挣到了好多钱。,弟弟,妹妹,1,-0.049199111,0.464694517,0.71495307,0.460216867,-0.501802202,0.75,0.75,0.75
MS,73,而且[MASK][MASK]比自己小了差不多2岁，从照片上的年纪看，对方也符合。,妹妹,弟弟,-1,-0.71553333,0.08905589,0.325623283,-0.28421839,-0.607571051,1,1,1
MS,74,希望2020年，本命年的娃[MASK][MASK]身体健康，事业更上一层楼！,爸爸,妈妈,1,-1.810096417,-2.105017112,-1.666251581,-1.458002661,-3.053670606,0,0,0
MS,75,恰恰在这个时期，孩子在外接触到了一些坏人，后来我才了解到，这些人打着宗教的幌子，给[MASK][MASK]灌输的是鼓吹新疆独立、“把汉族人赶出新疆”“不要买汉族人生产的东西”之类的极端思想。,儿子,女儿,1,1.878079944,3.436057218,3.759112701,2.939963389,-0.034552556,0.75,0.75,0.75
MS,76,到现在一个月了，[MASK][MASK]一直坚定要离婚，双方父母都劝不住了。,妹妹,弟弟,-1,-0.891381289,-0.586900983,-0.415158377,0.162985499,-1.040407584,-0.75,-0.75,-0.75
MS,77,我把孩子的事情揽过来，等于帮[MASK][MASK]解决了一个大问题。,女儿,儿子,-1,1.131027978,1.804471087,2.292299626,1.88378949,0.537602437,0,0,0
MS,78,另外有个耿直[MASK][MASK]说：“你神经病啊，天天码字，图什么啊”。,妹妹,弟弟,-1,-1.849485926,0.540415749,-0.41496288,-1.28621248,-0.741051451,-0.75,-0.75,-0.75
MS,79,对身上的警服，[MASK][MASK]特别珍爱，也倍觉荣耀，因此特意穿着警服和我照了合影。,妹妹,弟弟,-1,-0.304486915,0.280557736,0.436226414,0.065069685,-0.886783672,0.5,0.5,0.5
MS,80,把[MASK][MASK]也叫上，与我一起在哲学类的书架上找，还是没有。,女儿,儿子,-1,0.538536846,0.776066511,1.070135033,0.582933876,-0.218266955,-0.75,-0.75,-0.75
MS,81,身着唐装的“小[MASK][MASK]”身形优美、舞姿翩跹，站在不倒翁支架上进行表演。,姐姐,哥哥,-1,-1.79613959,-1.072199703,-2.124060345,-1.815176042,-0.388732689,-1.25,-1.25,-1.25
MS,82,我祝愿并盼望[MASK][MASK]能像我们的父辈一样热爱读书，尊重读书。,儿子,女儿,1,1.319133683,1.701969331,1.609009282,1.641479558,0.231596142,0.75,0.75,0.75
MS,83,[MASK][MASK]20多年的烟瘾都能戒掉，我还不能控制玩游戏的时间？,爸爸,妈妈,1,0.050882305,0.36216371,0.321174454,0.20741329,-1.968852597,1.25,1.25,1.25
MS,84,保持家中卫生清洁干净，衣物特别是[MASK][MASK]和宝宝常用的必需品应做到摆放整齐，方便获取和使用。,妈妈,爸爸,-1,-2.74509799,-2.835913423,-1.797196535,-3.363783233,-3.833184489,-0.75,-0.75,-0.75
MS,85,[MASK][MASK]还没出院，熟人的厂子由于卷入到一起金融刑事案件当中，老朱的230万要不回来了。,弟弟,妹妹,1,1.001966178,1.87566454,1.938464074,1.215146579,-0.46761695,0.75,0.75,0.75
MS,86,出了场地，就觉得空气里有股青草味，但脚下依旧不生风，步履是不如八十多岁的[MASK][MASK]。,叔叔,阿姨,1,0.172696067,0.870703344,1.209242108,0.011859474,-0.144234441,0.75,0.75,0.75
MS,87,"9月27日,刚上幼儿园的[MASK][MASK]居然拿着一个手工制作的小红旗回来,用并不伶俐的口齿告诉我这是五星红旗,要祝新中国生日快乐。",妹妹,弟弟,-1,-0.471466734,-0.647269767,-0.504397407,-0.487283507,-0.526944677,0,0,0
MS,88,已经退役的[MASK][MASK]们回到赛场，依然深受球迷喜爱。,姐姐,哥哥,-1,1.648049213,1.21728099,0.256687555,2.28312129,0.527806752,0.75,0.75,0.75
MS,89,次日老人[MASK][MASK]报警，儿媳被民警传唤至公安机关。,女儿,儿子,-1,1.375643569,1.145407289,1.052436701,0.949473148,0.368604599,0,0,0
MS,90,碎感龙须刘海搭配高扎丸子头和明艳红唇，[MASK][MASK]在时尚方面的可塑性可以说是相当强了。,妹妹,弟弟,-1,-2.416277048,-0.944505912,-2.254534307,-2.472803711,-0.669748696,-1,-1,-1
MS,91,但小[MASK][MASK]连滚带爬地踉跄了几下立即站起来，及时按下了电梯的紧急暂停按钮。,哥哥,姐姐,1,-0.075288843,-0.223452273,-0.321923549,-0.234292079,0.233467221,0,0,0
MS,92,[MASK][MASK]是江西人，虽不喝功夫茶，却对紫砂艺术评价甚高。,爸爸,妈妈,1,-0.208047402,-0.451199209,-0.281570136,-0.563199586,-3.035585789,1,1,1
MS,93,不行，我要坚持，我要去跑，因为有[MASK][MASK]陪我。,阿姨,叔叔,-1,-1.105815424,-0.782682378,-0.001125748,-0.060297342,1.774310147,0.75,0.75,0.75
MS,94,这与性格活泼、胆大张扬的[MASK][MASK]毛大可形成了鲜明的对比。,哥哥,姐姐,1,1.913545647,3.563268537,3.314749794,1.778053523,1.302067491,1,1,1
MS,95,[MASK][MASK]休息的时候喜欢“葛优躺”，一边吹着空调，一边吃着零食，喝着可乐，悠闲自得。,爸爸,妈妈,1,0.699212685,0.69849827,0.908929893,-1.034322754,-3.110859292,0.75,0.75,0.75
MS,96,办完业务，张[MASK][MASK]才发现自己胳膊上摔破了一大块。,阿姨,叔叔,-1,0.773212209,1.683723205,0.393126257,-1.071180202,-0.244470188,1.25,1.25,1.25
MS,97,[MASK][MASK]的一天总要从一杯沁人心脾的茶开始。,姥爷,姥姥,1,-0.412764422,0.410600345,0.491208008,1.171640385,-0.100961496,1.25,1.25,1.25
MS,98,[MASK][MASK]推磨很辛苦，往磨眼里放一小把小麦，就双手握住手磨的磨把不断地转圈儿，累得头汗直流。,弟弟,妹妹,1,1.608555719,1.465277511,1.538225839,1.577931581,-0.426800365,1.25,1.25,1.25
MS,99,毕业后，我和[MASK][MASK]一样，也留在了城里。,哥哥,姐姐,1,0.194035018,0.129488054,0.153040553,0.605650457,-0.859360551,1,1,1
MS,100,不忍心看父母如此辛劳，小唐向父母提出辍学，跟随[MASK][MASK]到广东打工，挣钱补贴家用。,姐姐,哥哥,-1,0.158436863,-0.101872216,0.060480202,0.693825567,0.137005912,1,1,1
MS,101,同时，[MASK][MASK]应掌握一些缓解压力的方法，学会自我调节，控制情绪，保持乐观心态。,妈妈,爸爸,-1,-1.687584922,-1.309233773,-1.742223618,-2.111730726,-2.818088165,-0.75,-0.75,-0.75
MS,102,老太太的[MASK][MASK]是肺动脉高压患者，需长期吃药。,儿子,女儿,1,2.301795408,2.191802005,2.173728627,1.053386414,-0.133652955,0.75,0.75,0.75
MS,103,奶瓶是宝宝成长过程中必不可少的物品，因此[MASK][MASK]们对于奶瓶的使用和消毒会格外在意。,妈妈,爸爸,-1,-1.835392214,-1.711752158,-2.878342438,-3.079751835,-3.588010178,-0.75,-0.75,-0.75
MS,104,不过我想[MASK][MASK]穿什么衣服都漂亮。,老婆,老公,-1,-0.114320895,0.308043848,0.257543861,-0.006394844,-0.719241426,-1,-1,-1
MS,105,出生15天后，龙凤胎的体重丝毫未增长，[MASK][MASK]还出现了严重的低蛋白血症水肿，病情危重。,弟弟,妹妹,1,-0.655895547,-1.409295273,-0.576683831,-0.519489748,-1.117125742,0.75,0.75,0.75
MS,106,我们不是圣人，但为了孩子，我们可以放下恩怨，而且我们的态度也会影响到[MASK][MASK]。,儿子,女儿,1,2.127407441,1.970327921,2.365259496,3.103150525,-0.806760595,0.75,0.75,0.75
MS,107,我常给[MASK][MASK]买荸荠煮着吃，荸荠中含的磷元素是根茎类植物中较高的，能促进儿童生长发育，尤其对儿童的牙齿、骨骼的发育益处多。,女儿,儿子,-1,1.476425086,1.409103083,2.360028543,1.509793973,-0.395388114,0.75,0.75,0.75
MS,108,现在每次回家，或逢年过节，老妈还是会给我们做这道老鸭煲，无论走到哪都记着这个味，记着[MASK][MASK]的味道。,妈妈,爸爸,-1,-1.940848719,-1.845407568,-2.527115025,-2.352129141,-3.100899404,-1.25,-1.25,-1.25
MS,109,[MASK][MASK]特别爱喝酒，每天吃饭都要喝点，喝多了就发酒疯，说话重三遍四，又唱又跳，走起路来歪歪扭扭的，特别好玩。,爸爸,妈妈,1,-0.297469368,0.183588866,0.381251426,-0.284037431,-2.497569932,0.5,0.5,0.5
MS,110,参观完工厂，夏[MASK][MASK]又带我们去做了一个关于水是酸性还是碱性的实验。,叔叔,阿姨,1,0.154476738,2.077085711,2.179792372,-0.989311091,-0.687507685,0.75,0.75,0.75
MS,111,此后很长一段的时间，尽管[MASK][MASK]得到了妥善的治疗，但我依然常常被突然袭来的难过击中，特别是在夜深人静之时。,姐姐,哥哥,-1,0.509370853,1.511896129,1.189698979,0.516753939,0.256010129,0.75,0.75,0.75
MS,112,不知从啥时起，在[MASK][MASK]眼里，我倒成了小孩子。,儿子,女儿,1,0.536741896,0.602783554,1.176046283,0.390489002,-1.409395923,0.75,0.75,0.75
MS,113,就在元春退休的当月，[MASK][MASK]被查出来肝癌晚期，从确诊到离世仅八天时间。,妈妈,爸爸,-1,-0.154579679,0.249450006,0.000967721,-0.515623242,-3.117040649,1.25,1.25,1.25
MS,114,为了还债，这位单亲[MASK][MASK]开办了一家养鸡场。,妈妈,爸爸,-1,-1.635585264,-1.667232175,-1.817876318,-2.058009879,-3.366641825,0,0,0
MS,115,希望通过我的表演，让更多和我[MASK][MASK]一样大的孩子了解科幻知识。,女儿,儿子,-1,1.779517792,2.023017649,1.38236952,1.969613434,-0.068945548,0.75,0.75,0.75
MS,116,11月8日上午7时左右，已喝醉酒的[MASK][MASK]突然跑到五一路学校小学部旁边的一栋居民楼4楼后，借着酒劲往下跳，幸好掉到一楼的铁皮棚上再掉到地上，人无大碍。,弟弟,妹妹,1,-0.216335881,-0.276574183,0.307628013,0.224310847,-1.11250353,0.75,0.75,0.75
MS,117,家庭是我的生活重心，孩子上小学了，一定要做一个称职的[MASK][MASK]。,妈妈,爸爸,-1,-0.31558228,0.623869656,-0.22441649,-2.088511403,-0.72070819,0,0,0
MS,118,2020年的世界，[MASK][MASK]成了我的新身份，我被孩子折磨，也被孩子治愈。,妈妈,爸爸,-1,-0.15596713,0.130225279,-0.011409293,-0.603203523,-2.268228235,0,0,0
MS,119,那时候，我最开心的事，是跟着左权盲人宣传队的[MASK][MASK]们上台表演。,叔叔,阿姨,1,-0.315114637,-0.632649328,-0.27075674,0.721385458,-0.359929916,-0.75,-0.75,-0.75
MS,120,原来小梁的[MASK][MASK]梁某在上世纪80年代初就在大东酒家做学徒，为北方餐厅制作包点，上世纪90年代辞职后，梁桂宽在工厂路小学附近开了一间北方包子铺，直至前几年店铺要拆迁才不做。,叔叔,阿姨,1,1.634923615,2.76504096,2.549072496,3.236646001,-0.832882511,0.75,0.75,0.75
MS,121,[MASK][MASK]是上世纪70年代末出生的，生活质量相对提高了许多。,爸爸,妈妈,1,-0.468121841,-0.99016417,-0.485685364,-0.636368258,-2.78872808,0,0,0
MS,122,当然，也有的小朋友说[MASK][MASK]在外面可是一只霸气的雄鹰。,爸爸,妈妈,1,-0.551034813,0.210547597,-0.258891782,-0.190639626,-2.807408665,1.25,1.25,1.25
MS,123,“何校长”对企业甚至比[MASK][MASK]还要亲，至今每天工作十多个小时，没有节假日。,儿子,女儿,1,0.769002719,0.852815119,0.95743875,0.916964845,-0.318060497,0,0,0
MS,124,10岁的[MASK][MASK]越来越沉迷玩手游。,儿子,女儿,1,0.074448063,0.310905583,0.467623617,0.052160656,0.546355839,0,0,0
MS,125,结果孩子的[MASK][MASK]不让呛，双方发生争执。,爷爷,奶奶,1,-3.799321606,-3.021006856,-1.706083307,-1.659991942,-0.532087991,-0.75,-0.75,-0.75
MS,126,当屡次被问及[MASK][MASK]到底哪点好，老杨显得很局促，凑不齐一个完整的答案。,老婆,老公,-1,-0.368714816,-0.027294183,-0.255200879,0.59446584,-1.110624855,0,0,0
MS,127,比赛一开始，我拨开人群噌噌噌地往上窜，和[MASK][MASK]不相上下。,弟弟,妹妹,1,-0.186129846,0.154475649,0.526670534,0.782956713,-1.564889644,0,0,0
OS,128,两个[MASK][MASK]先后出嫁，日子过得灯笼火把。,姐姐,哥哥,-1,-2.289330214,-2.519847635,-3.582636419,-1.760177484,-0.116515206,-1.25,-1.25,-1.25
